Model,Broad.phase.of.flight,Weather.Condition,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year
210L,Cruise,VMC,4.0,0.0,0.0,0.0,1982
PA-28-181,Landing,VMC,0.0,0.0,0.0,2.0,1982
421B,Landing,VMC,0.0,0.0,0.0,3.0,1982
23,Landing,VMC,0.0,0.0,0.0,2.0,1982
PA-23,Landing,VMC,0.0,0.0,0.0,5.0,1982
D18S,Approach,IMC,0.0,0.0,0.0,1.0,1982
R22,Cruise,VMC,1.0,0.0,0.0,0.0,1982
B90,Landing,IMC,0.0,0.0,0.0,3.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
150,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
PA-20,Taxi,VMC,0.0,0.0,0.0,2.0,1982
182C,Approach,VMC,0.0,0.0,1.0,0.0,1982
152,Cruise,VMC,0.0,0.0,0.0,1.0,1982
11AC,Landing,VMC,0.0,0.0,1.0,0.0,1982
T-34B,Approach,VMC,1.0,0.0,0.0,0.0,1982
